hotel_id,Hotel Property,Arrival Date,Year,Arrival Months,Seasons,country,available Rooms,Room Sold,occupancy,ADR,market_segment,distribution_channel,to_name,company,Revenue,customer_type,lead_time,reservation_status_date,Reservation Status
5,Loop Property,15/01/14,2014,Jan,Shoulder Season,CH,17,10,0.6,82.02,Leisure,OTA,ZanziTours,Company C,820.18,Transite,6,04/01/14,No Show
4,Michamvi Property,15/01/14,2014,Jan,Shoulder Season,DK,18,8,0.4,92.13,Leisure,TA/TO,Oceanic Travels,Company A,737.06,Transite,57,22/12/13,Canceled
7,Mwezi Property,15/01/14,2014,Jan,Shoulder Season,CH,22,13,0.6,89.43,Leisure,TA/TO,Sunset Ltd,Company A,1162.53,Transite,59,31/12/13,No Show
3,Nur Property,15/01/14,2014,Jan,Shoulder Season,LT,17,8,0.5,86.13,Leisure,TA/TO,Sunset Ltd,Company C,689.08,Transite,37,04/01/14,No Show
1,Kasha Property,16/01/14,2014,Jan,Shoulder Season,LU,6,3,0.5,275.91,Leisure,TA/TO,Oceanic Travels,,827.74,Transite,81,10/01/14,Canceled
2,Casa Property,16/01/14,2014,Jan,Shoulder Season,IE,14,7,0.5,91.73,Leisure,Group,TO Africa,Company B,642.13,Transite,77,05/01/14,No Show
6,Fun Property,16/01/14,2014,Jan,Shoulder Season,LT,20,11,0.6,81.52,Group,OTA,Sunset Ltd,Company C,896.76,Transite,95,28/12/13,Confirmed
5,Loop Property,16/01/14,2014,Jan,Shoulder Season,RO,17,9,0.5,85.66,Corporate,TA/TO,Sunset Ltd,Company C,770.97,Transite,76,31/12/13,Canceled
4,Michamvi Property,16/01/14,2014,Jan,Shoulder Season,AT,18,9,0.5,89.89,Corporate,Group,TO Africa,Company A,809.03,Transite,99,07/01/14,No Show
7,Mwezi Property,16/01/14,2014,Jan,Shoulder Season,AU,22,12,0.5,91.89,Leisure,OTA,ZanziTours,,1102.69,Transite,112,19/12/13,Confirmed
3,Nur Property,16/01/14,2014,Jan,Shoulder Season,HU,17,9,0.5,84.59,Group,OTA,ZanziTours,,761.27,Transite,177,28/12/13,Confirmed
1,Kasha Property,17/01/14,2014,Jan,Shoulder Season,DK,6,3,0.5,273.08,Leisure,Website,ZanziTours,Company A,819.24,Transite,34,24/12/13,Canceled
2,Casa Property,17/01/14,2014,Jan,Shoulder Season,FR,14,6,0.4,89.93,Leisure,Website,ZanziTours,Company B,539.6,Transite,7,14/01/14,No Show
6,Fun Property,17/01/14,2014,Jan,Shoulder Season,PL,20,9,0.5,82.19,Corporate,Group,ZanziTours,,739.72,Transite,27,27/12/13,No Show
5,Loop Property,17/01/14,2014,Jan,Shoulder Season,DE,17,8,0.5,81.26,Group,Direct,Sunset Ltd,,650.05,Transite,100,07/01/14,No Show
4,Michamvi Property,17/01/14,2014,Jan,Shoulder Season,EE,18,10,0.6,89.01,Corporate,OTA,ZanziTours,Company A,890.13,Transite,149,02/01/14,No Show
7,Mwezi Property,17/01/14,2014,Jan,Shoulder Season,FR,22,10,0.5,93.15,Group,TA/TO,Oceanic Travels,Company C,931.52,Transite,51,18/12/13,Confirmed
3,Nur Property,17/01/14,2014,Jan,Shoulder Season,UK,17,9,0.5,94.92,Business,TA/TO,TO Africa,Company A,854.3,Transite,102,16/01/14,Confirmed
1,Kasha Property,18/01/14,2014,Jan,Shoulder Season,BR,6,3,0.5,268.28,Business,Group,Sunset Ltd,Company C,804.85,Transite,14,16/01/14,No Show
2,Casa Property,18/01/14,2014,Jan,Shoulder Season,UK,14,6,0.4,84.96,Group,Direct,Oceanic Travels,Company B,509.75,Transite,106,08/01/14,No Show
6,Fun Property,18/01/14,2014,Jan,Shoulder Season,IE,20,11,0.6,82.26,Group,Website,ZanziTours,Company A,904.85,Transite,162,26/12/13,Canceled
5,Loop Property,18/01/14,2014,Jan,Shoulder Season,NL,17,9,0.5,87.79,Corporate,OTA,Sunset Ltd,,790.1,Transite,48,04/01/14,No Show
4,Michamvi Property,18/01/14,2014,Jan,Shoulder Season,JP,18,8,0.4,89.76,Leisure,OTA,ZanziTours,Company B,718.09,Transite,175,17/01/14,No Show
7,Mwezi Property,18/01/14,2014,Jan,Shoulder Season,DK,22,11,0.5,92.7,Corporate,OTA,ZanziTours,Company A,1019.69,Transite,155,29/12/13,Confirmed
3,Nur Property,18/01/14,2014,Jan,Shoulder Season,HU,17,10,0.6,88.53,Group,OTA,ZanziTours,Company C,885.31,Transite,156,14/01/14,Confirmed
1,Kasha Property,19/01/14,2014,Jan,Shoulder Season,NL,6,3,0.5,242.95,Business,OTA,ZanziTours,Company C,728.85,Transite,129,17/01/14,No Show
2,Casa Property,19/01/14,2014,Jan,Shoulder Season,UK,14,8,0.6,90.45,Business,TA/TO,Sunset Ltd,Company C,723.6,Transite,133,04/01/14,Canceled
6,Fun Property,19/01/14,2014,Jan,Shoulder Season,AT,20,9,0.5,93.94,Business,OTA,Sunset Ltd,,845.47,Transite,52,02/01/14,No Show
5,Loop Property,19/01/14,2014,Jan,Shoulder Season,NL,17,10,0.6,86.98,Group,TA/TO,Oceanic Travels,Company A,869.77,Transite,8,13/01/14,No Show
4,Michamvi Property,19/01/14,2014,Jan,Shoulder Season,US,18,11,0.6,90.86,Leisure,Group,Oceanic Travels,,999.47,Transite,100,08/01/14,No Show
7,Mwezi Property,19/01/14,2014,Jan,Shoulder Season,LV,22,11,0.5,82.07,Group,Group,TO Africa,Company A,902.79,Transite,136,08/01/14,Canceled
3,Nur Property,19/01/14,2014,Jan,Shoulder Season,ZA,17,8,0.5,93.95,Corporate,TA/TO,TO Africa,,751.56,Transite,37,05/01/14,No Show
1,Kasha Property,20/01/14,2014,Jan,Shoulder Season,CZ,6,3,0.5,254.66,Business,OTA,ZanziTours,Company C,763.98,Transite,91,05/01/14,No Show
2,Casa Property,20/01/14,2014,Jan,Shoulder Season,PL,14,7,0.5,85.84,Corporate,Direct,TO Africa,Company A,600.91,Transite,7,12/01/14,Confirmed
6,Fun Property,20/01/14,2014,Jan,Shoulder Season,BG,20,12,0.6,86.4,Leisure,Group,ZanziTours,Company C,1036.79,Transite,111,08/01/14,Canceled
5,Loop Property,20/01/14,2014,Jan,Shoulder Season,UK,17,9,0.5,88.66,Leisure,OTA,TO Africa,,797.95,Transite,25,29/12/13,No Show
4,Michamvi Property,20/01/14,2014,Jan,Shoulder Season,US,18,9,0.5,84.06,Group,Direct,TO Africa,Company C,756.54,Transite,19,29/12/13,No Show
7,Mwezi Property,20/01/14,2014,Jan,Shoulder Season,EE,22,12,0.5,82.82,Leisure,Group,Sunset Ltd,Company A,993.85,Transite,19,04/01/14,Confirmed
3,Nur Property,20/01/14,2014,Jan,Shoulder Season,FR,17,8,0.5,81.63,Corporate,TA/TO,ZanziTours,Company A,653.08,Transite,90,07/01/14,Confirmed
1,Kasha Property,21/01/14,2014,Jan,Shoulder Season,BG,6,3,0.5,251.88,Corporate,OTA,ZanziTours,Company B,755.64,Transite,91,28/12/13,Confirmed
2,Casa Property,21/01/14,2014,Jan,Shoulder Season,NL,14,8,0.6,80.31,Leisure,OTA,TO Africa,Company A,642.46,Transite,131,28/12/13,Canceled
6,Fun Property,21/01/14,2014,Jan,Shoulder Season,IE,20,10,0.5,87.95,Corporate,OTA,Oceanic Travels,Company B,879.48,Transite,130,03/01/14,Confirmed
5,Loop Property,21/01/14,2014,Jan,Shoulder Season,SK,17,7,0.4,88.74,Business,Group,Oceanic Travels,Company A,621.2,Transite,111,03/01/14,Canceled
4,Michamvi Property,21/01/14,2014,Jan,Shoulder Season,LU,18,9,0.5,91.79,Group,Direct,Oceanic Travels,,826.08,Transite,18,14/01/14,Confirmed
7,Mwezi Property,21/01/14,2014,Jan,Shoulder Season,FR,22,10,0.5,83.52,Leisure,OTA,ZanziTours,Company B,835.2,Transite,65,08/01/14,Canceled
3,Nur Property,21/01/14,2014,Jan,Shoulder Season,CA,17,9,0.5,80.12,Group,Group,Oceanic Travels,Company C,721.09,Transite,58,13/01/14,Canceled
1,Kasha Property,22/01/14,2014,Jan,Shoulder Season,AE,6,3,0.5,243.34,Business,TA/TO,Oceanic Travels,Company B,730.01,Transite,102,15/01/14,No Show
2,Casa Property,22/01/14,2014,Jan,Shoulder Season,AT,14,8,0.6,86.8,Business,OTA,TO Africa,Company B,694.38,Transite,151,27/12/13,Confirmed
6,Fun Property,22/01/14,2014,Jan,Shoulder Season,FR,20,9,0.5,83.07,Business,TA/TO,ZanziTours,Company A,747.67,Transite,99,01/01/14,Confirmed
5,Loop Property,22/01/14,2014,Jan,Shoulder Season,AT,17,7,0.4,82.28,Group,OTA,ZanziTours,,575.95,Transite,29,23/12/13,No Show
4,Michamvi Property,22/01/14,2014,Jan,Shoulder Season,UK,18,10,0.6,88.56,Leisure,Group,Sunset Ltd,Company C,885.65,Transite,87,04/01/14,Confirmed
7,Mwezi Property,22/01/14,2014,Jan,Shoulder Season,AT,22,12,0.5,81.33,Group,Direct,Sunset Ltd,Company A,975.98,Transite,113,28/12/13,Canceled
3,Nur Property,22/01/14,2014,Jan,Shoulder Season,NL,17,8,0.5,83.79,Corporate,TA/TO,Oceanic Travels,Company A,670.32,Transite,2,07/01/14,Confirmed
1,Kasha Property,23/01/14,2014,Jan,Shoulder Season,NL,6,2,0.3,260.04,Business,TA/TO,Sunset Ltd,Company C,520.08,Transite,91,27/12/13,Confirmed
2,Casa Property,23/01/14,2014,Jan,Shoulder Season,CH,14,6,0.4,84.92,Corporate,Direct,TO Africa,Company A,509.55,Transite,18,05/01/14,No Show
6,Fun Property,23/01/14,2014,Jan,Shoulder Season,BG,20,12,0.6,90.25,Leisure,OTA,Sunset Ltd,Company B,1083,Transite,23,07/01/14,Canceled
5,Loop Property,23/01/14,2014,Jan,Shoulder Season,BE,17,9,0.5,80.24,Group,TA/TO,TO Africa,Company C,722.13,Transite,10,09/01/14,Canceled
4,Michamvi Property,23/01/14,2014,Jan,Shoulder Season,RO,18,11,0.6,90.8,Group,Direct,TO Africa,,998.75,Transite,123,03/01/14,Confirmed
7,Mwezi Property,23/01/14,2014,Jan,Shoulder Season,SG,22,9,0.4,93.51,Group,OTA,Sunset Ltd,Company C,841.61,Transite,141,04/01/14,Confirmed
3,Nur Property,23/01/14,2014,Jan,Shoulder Season,BR,17,7,0.4,80.9,Group,Group,Oceanic Travels,Company C,566.31,Transite,75,28/12/13,No Show
