hotel_id,Hotel Property,Arrival Date,Year,Arrival Months,Seasons,country,available Rooms,Room Sold,occupancy,ADR,market_segment,distribution_channel,to_name,company,Revenue,customer_type,lead_time,reservation_status_date,Reservation Status,Projected PickUp 
4,Michamvi Property,02/01/14,2014,Jan,Shoulder Season,BE,18,9,0.5,90.53,Business,Website,ZanziTours,,814.77,Transient,35,08/03/14,Confirmed,1
7,Mwezi Property,02/01/14,2014,Jan,Shoulder Season,AT,22,12,0.5,92.02,Group,Corporate,Oceanic Travels,,1104.27,Transient,30,14/03/14,Confirmed,0
3,Nur Property,02/01/14,2014,Jan,Shoulder Season,SG,17,8,0.5,83.56,Corporate,Corporate,Sunset Ltd,Company C,668.49,Transient,95,09/01/14,Confirmed,2
1,Kasha Property,03/01/14,2014,Jan,Shoulder Season,RO,6,3,0.5,247.58,Business,OTA,ZanziTours,Company A,742.75,Transient,47,27/02/14,Confirmed,2
2,Casa Property,03/01/14,2014,Jan,Shoulder Season,UK,14,9,0.6,82.13,Business,TA/TO,ZanziTours,Company C,739.18,Transient,256,03/08/13,Confirmed,0
6,Fun Property,03/01/14,2014,Jan,Shoulder Season,UK,20,11,0.6,94.22,Business,OTA,Oceanic Travels,,1036.42,Transient,0,17/04/14,Confirmed,2
5,Loop Property,03/01/14,2014,Jan,Shoulder Season,BR,17,10,0.6,87.62,Leisure,OTA,Sunset Ltd,Company A,876.19,Transient,1,17/04/14,Confirmed,0
4,Michamvi Property,03/01/14,2014,Jan,Shoulder Season,BE,18,11,0.6,94.88,Group,Group,ZanziTours,Company A,1043.65,Transient,99,10/01/14,Confirmed,0
7,Mwezi Property,03/01/14,2014,Jan,Shoulder Season,AU,22,12,0.5,87.1,Corporate,OTA,Sunset Ltd,,1045.23,Transient,12,08/04/14,Confirmed,1
3,Nur Property,03/01/14,2014,Jan,Shoulder Season,DE,17,8,0.5,93.68,Business,OTA,ZanziTours,Company C,749.44,Transient,99,12/01/14,Confirmed,1
1,Kasha Property,04/01/14,2014,Jan,Shoulder Season,IN,6,2,0.3,251.27,Group,Website,ZanziTours,Company B,502.54,Transient,122,21/12/13,Confirmed,1
2,Casa Property,04/01/14,2014,Jan,Shoulder Season,AT,14,8,0.6,80.77,Leisure,TA/TO,TO Africa,Company B,646.12,Transient,2,21/04/14,Confirmed,2
6,Fun Property,04/01/14,2014,Jan,Shoulder Season,DK,20,10,0.5,83.17,Leisure,Website,Oceanic Travels,Company C,831.7,Transient,37,18/03/14,Confirmed,0
5,Loop Property,04/01/14,2014,Jan,Shoulder Season,EE,17,10,0.6,82.11,Group,OTA,Sunset Ltd,Company A,821.11,Transient,130,16/12/13,Confirmed,1
4,Michamvi Property,04/01/14,2014,Jan,Shoulder Season,FR,18,11,0.6,93.88,Group,Group,ZanziTours,,1032.68,Transient,99,17/01/14,Confirmed,1
7,Mwezi Property,04/01/14,2014,Jan,Shoulder Season,AT,22,11,0.5,88.26,Leisure,Group,Sunset Ltd,Company B,970.91,Transient,60,26/02/14,Confirmed,0
3,Nur Property,04/01/14,2014,Jan,Shoulder Season,AT,17,9,0.5,83.28,Leisure,OTA,Oceanic Travels,Company A,749.53,Transient,2,26/04/14,Confirmed,0
1,Kasha Property,05/01/14,2014,Jan,Shoulder Season,DK,6,3,0.5,259.65,Leisure,TA/TO,Sunset Ltd,Company C,778.95,Transient,37,23/03/14,Confirmed,2
2,Casa Property,05/01/14,2014,Jan,Shoulder Season,NL,14,8,0.6,81.43,Business,OTA,ZanziTours,Company B,651.47,Transient,56,05/03/14,Confirmed,1
6,Fun Property,05/01/14,2014,Jan,Shoulder Season,BG,20,9,0.5,91.78,Corporate,Direct,ZanziTours,Company C,826.05,Transient,3,29/03/15,Confirmed,3
5,Loop Property,05/01/14,2014,Jan,Shoulder Season,HU,17,9,0.5,93.63,Leisure,TA/TO,ZanziTours,Company B,842.64,Transient,107,16/12/14,Confirmed,2
4,Michamvi Property,05/01/14,2014,Jan,Shoulder Season,BR,18,8,0.4,83.57,Corporate,TA/TO,Sunset Ltd,,668.54,Transient,56,06/02/15,Confirmed,4
7,Mwezi Property,05/01/14,2014,Jan,Shoulder Season,RO,22,11,0.5,93.61,Group,Group,TO Africa,Company A,1029.72,Transient,2,02/04/15,Confirmed,4
3,Nur Property,05/01/14,2014,Jan,Shoulder Season,SG,17,10,0.6,88.79,Business,Group,TO Africa,Company C,887.92,Transient,72,23/01/15,Confirmed,4
1,Kasha Property,06/01/14,2014,Jan,Shoulder Season,PL,6,3,0.5,241.32,Business,OTA,Oceanic Travels,,723.96,Transient,23,14/03/15,Confirmed,4
2,Casa Property,06/01/14,2014,Jan,Shoulder Season,FR,14,6,0.4,82.6,Corporate,Group,Oceanic Travels,Company C,495.61,Escape TrAVEL,34,04/03/15,Confirmed,4
6,Fun Property,06/01/14,2014,Jan,Shoulder Season,NL,20,12,0.6,86.06,Group,Direct,TO Africa,,1032.76,Escape TrAVEL,289,23/06/14,Confirmed,4
5,Loop Property,06/01/14,2014,Jan,Shoulder Season,FR,17,7,0.4,88.02,Leisure,OTA,ZanziTours,Company C,616.16,Escape TrAVEL,247,05/08/14,Confirmed,4
4,Michamvi Property,06/01/14,2014,Jan,Shoulder Season,LV,18,8,0.4,84.97,Group,TA/TO,ZanziTours,,679.78,Escape TrAVEL,186,06/10/14,Confirmed,3
7,Mwezi Property,06/01/14,2014,Jan,Shoulder Season,ZA,22,11,0.5,81.79,Corporate,OTA,Oceanic Travels,Company C,899.73,Escape TrAVEL,64,06/02/15,Confirmed,4
3,Nur Property,06/01/14,2014,Jan,Shoulder Season,NL,17,8,0.5,80.7,Business,OTA,Oceanic Travels,Company B,645.58,Escape TrAVEL,35,08/03/15,Confirmed,3
1,Kasha Property,07/01/14,2014,Jan,Shoulder Season,CA,6,2,0.3,247.56,Corporate,TA/TO,TO Africa,Company B,495.12,Tanzania Advanture,96,07/01/15,Confirmed,3
2,Casa Property,07/01/14,2014,Jan,Shoulder Season,FR,14,7,0.5,88.2,Business,Group,TO Africa,Company C,617.43,Escape TrAVEL,41,04/03/15,Confirmed,3
6,Fun Property,07/01/14,2014,Jan,Shoulder Season,CH,20,12,0.6,84.13,Business,Website,Oceanic Travels,,1009.56,Escape TrAVEL,55,19/02/15,Confirmed,2
5,Loop Property,07/01/14,2014,Jan,Shoulder Season,CN,17,10,0.6,82.01,Leisure,Group,TO Africa,Company C,820.07,Escape TrAVEL,146,21/11/14,Confirmed,4
4,Michamvi Property,07/01/14,2014,Jan,Shoulder Season,RO,18,10,0.6,85.48,Group,OTA,Oceanic Travels,Company B,854.79,Escape TrAVEL,32,16/03/15,Confirmed,4
7,Mwezi Property,07/01/14,2014,Jan,Shoulder Season,UK,22,10,0.5,89.23,Corporate,Group,Oceanic Travels,Company C,892.33,Escape TrAVEL,55,22/02/15,Confirmed,2
3,Nur Property,07/01/14,2014,Jan,Shoulder Season,AT,17,10,0.6,93.11,Corporate,Website,TO Africa,Company B,931.07,Escape TrAVEL,57,21/02/15,Confirmed,3
1,Kasha Property,08/01/14,2014,Jan,Shoulder Season,UK,6,3,0.5,278.47,Leisure,TA/TO,TO Africa,,835.4,Escape TrAVEL,7,13/04/15,Confirmed,2
2,Casa Property,08/01/14,2014,Jan,Shoulder Season,AT,14,7,0.5,83.07,Leisure,Group,Sunset Ltd,,581.48,Escape TrAVEL,124,18/12/14,Confirmed,2
6,Fun Property,08/01/14,2014,Jan,Shoulder Season,IE,20,11,0.6,89.41,Corporate,TA/TO,Oceanic Travels,Company C,983.56,Tanzania Advanture,169,04/11/14,Confirmed,4
5,Loop Property,08/01/14,2014,Jan,Shoulder Season,CN,17,9,0.5,94.02,Corporate,Corporate,ZanziTours,Company A,846.17,Escape TrAVEL,6,17/04/15,Confirmed,4
4,Michamvi Property,08/01/14,2014,Jan,Shoulder Season,UK,18,8,0.4,81.25,Group,OTA,Sunset Ltd,,649.97,Escape TrAVEL,51,04/03/15,Confirmed,4
7,Mwezi Property,08/01/14,2014,Jan,Shoulder Season,BE,22,12,0.5,80.94,Corporate,Group,ZanziTours,Company A,971.23,Escape TrAVEL,13,12/04/15,Confirmed,3
3,Nur Property,08/01/14,2014,Jan,Shoulder Season,AE,17,10,0.6,83.64,Business,TA/TO,TO Africa,Company A,836.38,Escape TrAVEL,100,16/01/15,Confirmed,4
1,Kasha Property,09/01/14,2014,Jan,Shoulder Season,DE,6,3,0.5,277.68,Leisure,Direct,ZanziTours,,833.04,Tanzania Advanture,139,09/12/14,Confirmed,2
2,Casa Property,09/01/14,2014,Jan,Shoulder Season,UK,14,8,0.6,85.66,Group,OTA,TO Africa,,685.31,Escape TrAVEL,117,01/01/15,Confirmed,4
6,Fun Property,09/01/14,2014,Jan,Shoulder Season,RO,20,9,0.5,84.85,Leisure,Direct,ZanziTours,Company B,763.66,Escape TrAVEL,39,21/03/15,Confirmed,3
5,Loop Property,09/01/14,2014,Jan,Shoulder Season,DE,17,10,0.6,82.87,Leisure,Direct,TO Africa,Company A,828.72,Escape TrAVEL,86,03/02/15,Confirmed,4
4,Michamvi Property,09/01/14,2014,Jan,Shoulder Season,HU,18,11,0.6,88.04,Group,OTA,Sunset Ltd,Company C,968.4,Transient,2,30/03/16,Confirmed,3
7,Mwezi Property,09/01/14,2014,Jan,Shoulder Season,BE,22,11,0.5,80.47,Business,Direct,Sunset Ltd,Company B,885.13,Transient,19,14/03/16,Confirmed,3
3,Nur Property,09/01/14,2014,Jan,Shoulder Season,CZ,17,8,0.5,91.07,Leisure,TA/TO,Oceanic Travels,Company C,728.59,Transient,192,24/09/15,Confirmed,3
1,Kasha Property,10/01/14,2014,Jan,Shoulder Season,CH,6,3,0.5,256.94,Leisure,Corporate,Sunset Ltd,Company A,770.82,Transient,2,02/04/16,Confirmed,3
2,Casa Property,10/01/14,2014,Jan,Shoulder Season,IN,14,6,0.4,83.52,Corporate,Corporate,ZanziTours,Company B,501.11,Transient,86,10/01/16,Confirmed,3
6,Fun Property,10/01/14,2014,Jan,Shoulder Season,DE,20,11,0.6,94.72,Leisure,TA/TO,TO Africa,Company C,1041.92,Transient,30,07/03/16,Confirmed,4
5,Loop Property,10/01/14,2014,Jan,Shoulder Season,BR,17,10,0.6,84.14,Group,TA/TO,Oceanic Travels,Company A,841.43,Transient,179,11/10/15,Confirmed,3
4,Michamvi Property,10/01/14,2014,Jan,Shoulder Season,FR,18,8,0.4,82.45,Business,Group,Sunset Ltd,Company A,659.59,Transient,26,13/03/16,Confirmed,4
7,Mwezi Property,10/01/14,2014,Jan,Shoulder Season,BR,22,12,0.5,93.64,Group,Website,TO Africa,Company B,1123.7,Transient,55,14/02/16,Confirmed,4
3,Nur Property,10/01/14,2014,Jan,Shoulder Season,DK,17,8,0.5,94.05,Group,TA/TO,TO Africa,Company B,752.42,Transient,74,27/01/16,Confirmed,3
1,Kasha Property,11/01/14,2014,Jan,Shoulder Season,AE,6,3,0.5,273.4,Corporate,Direct,ZanziTours,Company B,820.21,Transient,143,20/11/15,Confirmed,4
2,Casa Property,11/01/14,2014,Jan,Shoulder Season,CH,14,8,0.6,81.13,Corporate,OTA,ZanziTours,Company B,649.08,Tanzania Advanture,34,09/03/16,Confirmed,4
6,Fun Property,11/01/14,2014,Jan,Shoulder Season,FR,20,9,0.5,94.14,Group,TA/TO,TO Africa,,847.29,Tanzania Advanture,30,14/03/16,Confirmed,3
5,Loop Property,11/01/14,2014,Jan,Shoulder Season,SI,17,10,0.6,86.47,Business,Website,ZanziTours,Company B,864.67,Tanzania Advanture,177,20/10/15,Confirmed,3
4,Michamvi Property,11/01/14,2014,Jan,Shoulder Season,FR,18,8,0.4,84.47,Business,TA/TO,Oceanic Travels,Company C,675.76,Tanzania Advanture,34,12/03/16,Confirmed,4
7,Mwezi Property,11/01/14,2014,Jan,Shoulder Season,DK,22,13,0.6,86.09,Corporate,Website,ZanziTours,Company A,1119.18,Tanzania Advanture,18,29/03/16,Confirmed,3
3,Nur Property,11/01/14,2014,Jan,Shoulder Season,SK,17,9,0.5,87.02,Corporate,OTA,Sunset Ltd,Company A,783.15,Tanzania Advanture,267,25/07/15,Confirmed,4
1,Kasha Property,12/01/14,2014,Jan,Shoulder Season,CA,6,3,0.5,260.14,Corporate,Website,Sunset Ltd,,780.42,Mount Kaliminjro  Safary,64,14/02/16,Confirmed,3
2,Casa Property,12/01/14,2014,Jan,Shoulder Season,PL,14,7,0.5,81.07,Corporate,TA/TO,Sunset Ltd,Company B,567.52,Mount Kaliminjro  Safary,155,16/11/15,Confirmed,4
6,Fun Property,12/01/14,2014,Jan,Shoulder Season,DE,20,9,0.5,94.92,Leisure,Direct,ZanziTours,,854.29,Mount Kaliminjro  Safary,46,05/03/16,Confirmed,3
5,Loop Property,12/01/14,2014,Jan,Shoulder Season,DE,17,9,0.5,88.42,Group,Direct,Oceanic Travels,Company B,795.74,Escape TrAVEL,83,29/01/16,Confirmed,3
4,Michamvi Property,12/01/14,2014,Jan,Shoulder Season,RO,18,8,0.4,85.33,Leisure,Group,TO Africa,Company B,682.65,Escape TrAVEL,128,16/12/15,Confirmed,3
7,Mwezi Property,12/01/14,2014,Jan,Shoulder Season,AE,22,10,0.5,91.21,Group,TA/TO,Oceanic Travels,Company A,912.09,Escape TrAVEL,20,03/04/16,Confirmed,3
3,Nur Property,12/01/14,2014,Jan,Shoulder Season,SI,17,9,0.5,86.42,Group,OTA,Oceanic Travels,Company B,777.8,Escape TrAVEL,40,15/03/16,Confirmed,3
1,Kasha Property,13/01/14,2014,Jan,Shoulder Season,AT,6,2,0.3,246.29,Corporate,OTA,ZanziTours,,492.58,Escape TrAVEL,46,10/03/16,Confirmed,3
2,Casa Property,13/01/14,2014,Jan,Shoulder Season,BE,14,7,0.5,87.64,Business,TA/TO,ZanziTours,Company B,613.48,Escape TrAVEL,1,25/04/16,Confirmed,3
6,Fun Property,13/01/14,2014,Jan,Shoulder Season,AT,20,12,0.6,84.91,Leisure,Website,TO Africa,Company C,1018.96,Escape TrAVEL,196,14/10/15,Confirmed,4
5,Loop Property,13/01/14,2014,Jan,Shoulder Season,IN,17,9,0.5,91.9,Leisure,OTA,ZanziTours,Company A,827.09,Escape TrAVEL,188,23/10/15,Confirmed,4
4,Michamvi Property,13/01/14,2014,Jan,Shoulder Season,FR,18,10,0.6,86.51,Leisure,TA/TO,Oceanic Travels,Company C,865.13,Escape TrAVEL,17,12/04/16,Confirmed,3
7,Mwezi Property,13/01/14,2014,Jan,Shoulder Season,PL,22,10,0.5,92.13,Leisure,Group,Sunset Ltd,Company A,921.29,Tanzania Advanture,146,06/12/15,Confirmed,4
3,Nur Property,13/01/14,2014,Jan,Shoulder Season,EE,17,10,0.6,84.5,Business,TA/TO,Sunset Ltd,Company A,845.01,Transient,110,12/12/16,Confirmed,4
1,Kasha Property,14/01/14,2014,Jan,Shoulder Season,CH,6,2,0.3,271.45,Business,TA/TO,Sunset Ltd,,542.91,Transient,68,24/01/17,Confirmed,4
2,Casa Property,14/01/14,2014,Jan,Shoulder Season,LT,14,7,0.5,92.84,Business,Website,TO Africa,Company A,649.85,Transient,73,20/01/17,Confirmed,4
6,Fun Property,14/01/14,2014,Jan,Shoulder Season,LU,20,12,0.6,90.36,Group,TA/TO,Oceanic Travels,Company A,1084.34,Transient,92,02/01/17,Confirmed,5
5,Loop Property,14/01/14,2014,Jan,Shoulder Season,CN,17,10,0.6,90.05,Business,TA/TO,TO Africa,,900.49,Transient,171,16/10/16,Confirmed,5
4,Michamvi Property,14/01/14,2014,Jan,Shoulder Season,JP,18,9,0.5,86.4,Group,Group,Oceanic Travels,Company A,777.64,TransientParty,134,23/11/16,Confirmed,4
7,Mwezi Property,14/01/14,2014,Jan,Shoulder Season,PL,22,13,0.6,88.62,Group,OTA,Oceanic Travels,,1152,Transient,320,22/05/16,Confirmed,5
3,Nur Property,14/01/14,2014,Jan,Shoulder Season,BE,17,9,0.5,92.95,Corporate,OTA,Oceanic Travels,,836.51,TransientParty,118,11/12/16,Confirmed,5
1,Kasha Property,15/01/14,2014,Jan,Shoulder Season,FR,6,3,0.5,272.82,Business,OTA,Sunset Ltd,Company B,818.46,Transient,30,10/03/17,Confirmed,5
2,Casa Property,15/01/14,2014,Jan,Shoulder Season,BG,14,7,0.5,89.11,Leisure,Website,TO Africa,Company B,623.77,Transient,30,11/03/17,Confirmed,4
6,Fun Property,15/01/14,2014,Jan,Shoulder Season,AT,20,11,0.6,94.24,Corporate,OTA,Sunset Ltd,Company B,1036.61,Transient,189,04/10/16,Confirmed,4
5,Loop Property,15/01/14,2014,Jan,Shoulder Season,CH,17,10,0.6,82.02,Leisure,OTA,ZanziTours,Company C,820.18,Transient,55,16/02/17,Confirmed,5
4,Michamvi Property,15/01/14,2014,Jan,Shoulder Season,DK,18,8,0.4,92.13,Leisure,TA/TO,Oceanic Travels,Company A,737.06,Transient,55,17/02/17,Confirmed,4
7,Mwezi Property,15/01/14,2014,Jan,Shoulder Season,CH,22,13,0.6,89.43,Leisure,TA/TO,Sunset Ltd,Company A,1162.53,Transient,16,29/03/17,Confirmed,5
3,Nur Property,15/01/14,2014,Jan,Shoulder Season,LT,17,8,0.5,86.13,Leisure,TA/TO,Sunset Ltd,Company C,689.08,Transient,24,22/03/17,Confirmed,4
1,Kasha Property,16/01/14,2014,Jan,Shoulder Season,LU,6,3,0.5,275.91,Leisure,TA/TO,Oceanic Travels,,827.74,Transient,8,08/04/17,Confirmed,4
2,Casa Property,16/01/14,2014,Jan,Shoulder Season,IE,14,7,0.5,91.73,Leisure,Group,TO Africa,Company B,642.13,Transient,10,07/04/17,Confirmed,4
6,Fun Property,16/01/14,2014,Jan,Shoulder Season,LT,20,11,0.6,81.52,Group,OTA,Sunset Ltd,Company C,896.76,Transient,0,18/04/17,Confirmed,4
5,Loop Property,16/01/14,2014,Jan,Shoulder Season,RO,17,9,0.5,85.66,Corporate,TA/TO,Sunset Ltd,Company C,770.97,Transient,12,07/04/17,Confirmed,4
4,Michamvi Property,16/01/14,2014,Jan,Shoulder Season,AT,18,9,0.5,89.89,Corporate,Group,TO Africa,Company A,809.03,Transient,32,19/03/17,Confirmed,4
7,Mwezi Property,16/01/14,2014,Jan,Shoulder Season,AU,22,12,0.5,91.89,Leisure,OTA,ZanziTours,,1102.69,Transient,182,21/10/16,Confirmed,4
3,Nur Property,16/01/14,2014,Jan,Shoulder Season,HU,17,9,0.5,84.59,Group,OTA,ZanziTours,,761.27,Transient,1,21/04/17,Confirmed,5
1,Kasha Property,17/01/14,2014,Jan,Shoulder Season,DK,6,3,0.5,273.08,Leisure,Website,ZanziTours,Company A,819.24,Transient,122,22/12/16,Confirmed,5
2,Casa Property,17/01/14,2014,Jan,Shoulder Season,FR,14,6,0.4,89.93,Leisure,Website,ZanziTours,Company B,539.6,Transient,40,15/03/17,Confirmed,5
6,Fun Property,17/01/14,2014,Jan,Shoulder Season,PL,20,9,0.5,82.19,Corporate,Group,ZanziTours,,739.72,Transient,116,30/12/16,Confirmed,5
5,Loop Property,17/01/14,2014,Jan,Shoulder Season,DE,17,8,0.5,81.26,Group,Direct,Sunset Ltd,,650.05,Transient,123,24/12/16,Confirmed,4
4,Michamvi Property,17/01/14,2014,Jan,Shoulder Season,EE,18,10,0.6,89.01,Corporate,OTA,ZanziTours,Company A,890.13,Transient,40,18/03/17,Confirmed,4
7,Mwezi Property,17/01/14,2014,Jan,Shoulder Season,FR,22,10,0.5,93.15,Group,TA/TO,Oceanic Travels,Company C,931.52,Transient,105,13/01/17,Confirmed,4
3,Nur Property,17/01/14,2014,Jan,Shoulder Season,UK,17,9,0.5,94.92,Business,TA/TO,TO Africa,Company A,854.3,Transient,443,11/02/16,Confirmed,5
1,Kasha Property,18/01/14,2014,Jan,Shoulder Season,BR,6,3,0.5,268.28,Business,Group,Sunset Ltd,Company C,804.85,Transient,2,28/04/17,Confirmed,5
2,Casa Property,18/01/14,2014,Jan,Shoulder Season,UK,14,6,0.4,84.96,Group,Direct,Oceanic Travels,Company B,509.75,Transient,317,19/05/17,Confirmed,5
6,Fun Property,18/01/14,2014,Jan,Shoulder Season,IE,20,11,0.6,82.26,Group,Website,ZanziTours,Company A,904.85,Transient,286,20/06/17,Confirmed,6
5,Loop Property,18/01/14,2014,Jan,Shoulder Season,NL,17,9,0.5,87.79,Corporate,OTA,Sunset Ltd,,790.1,Transient,68,25/01/18,Confirmed,5
4,Michamvi Property,18/01/14,2014,Jan,Shoulder Season,JP,18,8,0.4,89.76,Leisure,OTA,ZanziTours,Company B,718.09,Transient,148,07/11/17,Confirmed,6
7,Mwezi Property,18/01/14,2014,Jan,Shoulder Season,DK,22,11,0.5,92.7,Corporate,OTA,ZanziTours,Company A,1019.69,Contract,68,27/01/18,Confirmed,7
3,Nur Property,18/01/14,2014,Jan,Shoulder Season,HU,17,10,0.6,88.53,Group,OTA,ZanziTours,Company C,885.31,Transient,30,07/03/18,Confirmed,5
1,Kasha Property,19/01/14,2014,Jan,Shoulder Season,NL,6,3,0.5,242.95,Business,OTA,ZanziTours,Company C,728.85,Transient,14,24/03/18,Confirmed,6
2,Casa Property,19/01/14,2014,Jan,Shoulder Season,UK,14,8,0.6,90.45,Business,TA/TO,Sunset Ltd,Company C,723.6,Transient,110,19/12/17,Confirmed,7
6,Fun Property,19/01/14,2014,Jan,Shoulder Season,AT,20,9,0.5,93.94,Business,OTA,Sunset Ltd,,845.47,Transient,117,13/12/17,Confirmed,6
5,Loop Property,19/01/14,2014,Jan,Shoulder Season,NL,17,10,0.6,86.98,Group,TA/TO,Oceanic Travels,Company A,869.77,Transient,85,15/01/18,Confirmed,5
4,Michamvi Property,19/01/14,2014,Jan,Shoulder Season,US,18,11,0.6,90.86,Leisure,Group,Oceanic Travels,,999.47,Transient,1,10/04/18,Confirmed,5
7,Mwezi Property,19/01/14,2014,Jan,Shoulder Season,LV,22,11,0.5,82.07,Group,Group,TO Africa,Company A,902.79,Transient,25,18/03/18,Confirmed,6
3,Nur Property,19/01/14,2014,Jan,Shoulder Season,ZA,17,8,0.5,93.95,Corporate,TA/TO,TO Africa,,751.56,Transient,289,28/06/17,Confirmed,7
1,Kasha Property,20/01/14,2014,Jan,Shoulder Season,CZ,6,3,0.5,254.66,Business,OTA,ZanziTours,Company C,763.98,Transient,28,17/03/18,Confirmed,5
2,Casa Property,20/01/14,2014,Jan,Shoulder Season,PL,14,7,0.5,85.84,Corporate,Direct,TO Africa,Company A,600.91,Transient,80,25/01/18,Confirmed,5
6,Fun Property,20/01/14,2014,Jan,Shoulder Season,BG,20,12,0.6,86.4,Leisure,Group,ZanziTours,Company C,1036.79,Transient,11,05/04/18,Confirmed,6
5,Loop Property,20/01/14,2014,Jan,Shoulder Season,UK,17,9,0.5,88.66,Leisure,OTA,TO Africa,,797.95,Transient,162,06/11/17,Confirmed,5
4,Michamvi Property,20/01/14,2014,Jan,Shoulder Season,US,18,9,0.5,84.06,Group,Direct,TO Africa,Company C,756.54,Transient,155,14/11/17,Confirmed,6
7,Mwezi Property,20/01/14,2014,Jan,Shoulder Season,EE,22,12,0.5,82.82,Leisure,Group,Sunset Ltd,Company A,993.85,Transient,82,27/01/18,Confirmed,7
3,Nur Property,20/01/14,2014,Jan,Shoulder Season,FR,17,8,0.5,81.63,Corporate,TA/TO,ZanziTours,Company A,653.08,Transient,27,24/03/18,Confirmed,7
1,Kasha Property,21/01/14,2014,Jan,Shoulder Season,BG,6,3,0.5,251.88,Corporate,OTA,ZanziTours,Company B,755.64,Transient,13,08/04/18,Confirmed,5
2,Casa Property,21/01/14,2014,Jan,Shoulder Season,NL,14,8,0.6,80.31,Leisure,OTA,TO Africa,Company A,642.46,Transient,245,20/08/17,Confirmed,7
6,Fun Property,21/01/14,2014,Jan,Shoulder Season,IE,20,10,0.5,87.95,Corporate,OTA,Oceanic Travels,Company B,879.48,Transient,11,12/04/18,Confirmed,5
5,Loop Property,21/01/14,2014,Jan,Shoulder Season,SK,17,7,0.4,88.74,Business,Group,Oceanic Travels,Company A,621.2,Transient,266,01/08/17,Confirmed,5
4,Michamvi Property,21/01/14,2014,Jan,Shoulder Season,LU,18,9,0.5,91.79,Group,Direct,Oceanic Travels,,826.08,Transient,39,17/03/18,Confirmed,7
7,Mwezi Property,21/01/14,2014,Jan,Shoulder Season,FR,22,10,0.5,83.52,Leisure,OTA,ZanziTours,Company B,835.2,Transient,13,13/04/18,Confirmed,6
3,Nur Property,21/01/14,2014,Jan,Shoulder Season,CA,17,9,0.5,80.12,Group,Group,Oceanic Travels,Company C,721.09,Transient,112,05/01/18,Confirmed,6
1,Kasha Property,22/01/14,2014,Jan,Shoulder Season,AE,6,3,0.5,243.34,Business,TA/TO,Oceanic Travels,Company B,730.01,Transient,88,30/01/18,Confirmed,5
2,Casa Property,22/01/14,2014,Jan,Shoulder Season,AT,14,8,0.6,86.8,Business,OTA,TO Africa,Company B,694.38,Transient,56,04/03/18,Confirmed,7
6,Fun Property,22/01/14,2014,Jan,Shoulder Season,FR,20,9,0.5,83.07,Business,TA/TO,ZanziTours,Company A,747.67,Transient,73,16/02/18,Confirmed,5
5,Loop Property,22/01/14,2014,Jan,Shoulder Season,AT,17,7,0.4,82.28,Group,OTA,ZanziTours,,575.95,Transient,80,11/01/19,Confirmed,8
4,Michamvi Property,22/01/14,2014,Jan,Shoulder Season,UK,18,10,0.6,88.56,Leisure,Group,Sunset Ltd,Company C,885.65,Transient,130,23/11/18,Confirmed,7
